,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,client_wins,host_wins,Previous_相對溼度(%),Previous_降水量(mm),Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_PA,Previous_HOST_3B,Previous_HOST_TB,Previous_HOST_SAC,Previous_HOST_DP,Previous_HOST_PB,Previous_CLIENT_PA,Previous_CLIENT_3B,Stadium
107,16191,0.80955,2017-06-24,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.6481481481481481,0.7307692307692307,74.08,0.0,4,0,2,2,9,28,0,17,0,0,1,43,0,桃園
108,3085,0.5609090909090909,2017-06-25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.4417039706807047,0.4,74.58,0.0,0,1,1,0,0,23,0,7,1,0,0,26,0,花蓮
109,14197,0.70985,2017-06-25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6545454545454545,0.7169811320754716,71.54,0.0,1,3,2,0,3,28,0,12,0,0,0,28,0,桃園
110,4518,0.3012,2017-06-27,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.7222222222222222,0.4450597860190784,77.62,0.0,1,1,1,1,3,34,0,13,1,0,0,38,0,斗六
111,4113,0.20565,2017-06-28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6428571428571429,0.7272727272727273,76.21,0.0,2,1,0,0,9,33,2,14,1,0,0,35,1,桃園
112,2453,0.12265,2017-06-29,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.7321428571428571,0.631578947368421,74.42,0.0,0,1,1,0,2,23,0,11,1,0,0,30,0,洲際
113,3108,0.5650909090909091,2017-06-29,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.4466502158382925,0.4107142857142857,82.08,0.0,1,0,0,1,4,39,1,14,0,0,0,42,0,花蓮
114,2838,0.1892,2017-07-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.4210526315789473,0.4500330938903416,71.92,0.0,1,0,3,4,8,46,0,25,0,0,1,47,0,斗六
115,3138,0.1569,2017-07-02,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.6206896551724138,0.4517566709079806,83.67,0.33,3,1,1,0,10,37,0,16,2,0,0,43,0,洲際
116,2472,0.1648,2017-07-02,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.7368421052631579,0.4137931034482759,77.67,0.46,0,1,0,2,0,30,1,11,3,0,0,26,0,斗六
117,2518,0.1259,2017-07-05,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.7413793103448276,0.6101694915254238,79.3,0.12,0,1,1,0,10,41,2,21,0,0,0,50,0,洲際
118,2291,0.11455,2017-07-06,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.7457627118644068,0.4067796610169492,73.7,0.0,2,1,0,1,5,43,1,12,0,0,1,34,0,桃園
119,4656,0.3104,2017-07-11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.75,0.4551469332893993,84.92,0.0,1,1,0,2,10,27,0,14,0,0,0,39,0,斗六
120,3550,0.1775,2017-07-12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.6,0.4,83.54,0.56,1,1,0,0,4,36,0,10,1,0,0,33,0,洲際
121,3188,0.1594,2017-07-13,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.7540983606557377,0.4569751256398462,70.21,0.0,0,0,0,0,0,29,1,11,0,0,0,32,0,澄清湖
122,4058,0.2029,2017-07-13,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.5901639344262295,0.4098360655737705,71.43,0.0,1,1,1,0,3,33,0,15,0,0,0,36,0,洲際
123,3212,0.1606,2017-07-14,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.7419354838709677,0.4032258064516129,68.38,0.0,1,2,1,0,4,38,0,15,4,0,0,39,0,洲際
124,3534,0.1767,2017-07-14,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.5967741935483871,0.4555185375918918,68.62,0.0,1,2,1,1,3,27,0,4,0,0,0,36,0,澄清湖
125,5736,0.2868,2017-07-15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.746031746031746,0.3968253968253968,69.46,0.0,2,1,0,0,8,35,0,10,0,0,0,40,0,洲際
126,6064,0.3032,2017-07-15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.5873015873015873,0.4547775499477941,72.57,0.0,7,2,0,2,24,31,0,13,0,0,0,49,0,澄清湖
127,4565,0.22825,2017-07-16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.59375,0.4540228514768125,70.83,0.0,4,0,0,1,9,27,0,8,0,0,0,41,0,澄清湖
