,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
73,4476,0.2238,2017-05-19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,209,4,6,0,2,7,7,1,6,桃園
74,9198,0.4599,2017-05-20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,3,4,196,10,5,2,2,6,6,1,3,洲際
75,12225,0.61125,2017-05-20,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,10,12,234,17,11,6,4,15,8,0,4,桃園
76,3383,0.16915,2017-05-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,3,5,215,12,5,0,3,6,8,0,3,洲際
77,6021,0.30105,2017-05-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,3,4,191,5,6,1,6,6,5,0,3,洲際
78,8113,0.40565,2017-05-21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,3,3,181,7,8,0,6,5,3,0,4,桃園
79,3287,0.16435,2017-05-23,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,2,166,7,14,0,3,7,9,0,0,洲際
80,3789,0.18945,2017-05-25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,7,6,244,15,6,0,4,9,9,0,2,桃園
81,3515,0.17575,2017-05-25,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,2,3,158,6,12,0,1,5,5,0,4,洲際
82,4018,0.2009,2017-05-26,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,3,12,5,224,11,3,1,2,12,4,1,3,洲際
