"","GAME_NO","DATE","STADIUM","DAY","HOST","CLIENT","CLIENT_HR","CLIENT_ERR","HOST_HR","HOST_ERR","CLIENT_SCORE","HOST_SCORE","TIME","HOST_PA","HOST_AB","HOST_H","HOST_2B","HOST_3B","HOST_TB","HOST_SO","HOST_SB","HOST_CS_1","HOST_SAC","HOST_SF","HOST_BB","HOST_IBB","HOST_HBP","HOST_GIDP","HOST_LOB","HOST_PO","HOST_A","HOST_DP","HOST_TP.1","HOST_E","HOST_CS_2","HOST_PB","CLIENT_PA","CLIENT_AB","CLIENT_H","CLIENT_2B","CLIENT_3B","CLIENT_TB","CLIENT_SO","CLIENT_SB","CLIENT_CS_1","CLIENT_SAC","CLIENT_SF","CLIENT_BB","CLIENT_IBB","CLIENT_HBP","CLIENT_GIDP","CLIENT_LOB","CLIENT_PO","CLIENT_A","CLIENT_DP","CLIENT_TP.1","CLIENT_E","CLIENT_CS_2","CLIENT_PB","HOST_BF","HOST_NP_1","HOST_ER","HOST_AO","HOST_GO","HOST_NBB","HOST_BS","HOST_S","HOST_WP","HOST_BK","HOST_PO.1","HOST_A.1","HOST_DP.1","HOST_TP","HOST_E.1","HOST_PK","CLIENT_BF","CLIENT_NP_1","CLIENT_ER","CLIENT_AO","CLIENT_GO","CLIENT_NBB","CLIENT_BS","CLIENT_S","CLIENT_WP","CLIENT_BK","CLIENT_PO.1","CLIENT_A.1","CLIENT_DP.1","CLIENT_TP","CLIENT_E.1","CLIENT_PK","氣溫(℃)","相對溼度(%)","降水量(mm)","BOX_OFFICE"
"176",181,42969,"洲際","Tue","中信兄弟","統一7-ELEVEn獅",0,2,0,0,7,8,244,40,37,12,3,0,15,9,0,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0,35,29,9,5,0,14,4,3,0,1,0,4,1,0,0,7,0,0,0,0,0,0,0,44,174,7,13,8,0,0,105,1,0,0,0,0,0,0,0,40,150,4,7,9,0,1,97,1,0,0,0,0,0,0,0,29.32,82.32,0.29,3121
"177",182,42970,"桃園","Wed","LAMIGO桃猿","富邦悍將",2,1,0,0,7,1,212,34,32,7,1,0,8,3,2,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,38,33,11,4,0,21,13,0,1,1,0,2,0,2,0,7,0,0,0,0,0,1,0,43,171,7,8,4,0.1,4,101,0,2,2,0,0,0,0,1,36,144,1,14,10,0,0,94,0,0,0,0,0,0,0,0,28.71,84.29,0,5617
"178",184,42971,"桃園","Thu","LAMIGO桃猿","富邦悍將",2,4,0,1,9,10,271,46,40,13,2,0,15,8,3,0,0,0,5,0,1,0,12,0,0,0,0,0,0,0,39,31,8,0,1,16,13,1,0,1,0,5,0,2,0,8,0,0,0,0,0,0,0,45,181,8,8,6,0,0,110,0,0,0,0,0,0,0,0,46,211,6,9,10,0,1,130,0,0,0,0,0,0,0,0,28.95,82.96,0,5389
"179",185,42972,"洲際","Fri","中信兄弟","富邦悍將",2,1,2,1,5,4,219,42,36,8,1,1,17,10,2,0,0,0,4,0,2,0,11,0,0,0,0,0,0,0,29,26,6,1,0,10,8,0,0,0,0,1,0,2,2,5,0,0,0,0,0,0,0,38,153,3,7,9,0,2,104,1,0,0,0,0,0,0,0,42,170,3,9,9,0,0,103,0,0,0,0,0,0,0,0,28.08,84.83,0,4754
"180",186,42972,"桃園","Fri","LAMIGO桃猿","統一7-ELEVEn獅",0,2,2,1,0,7,161,32,31,11,2,0,19,6,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,29,28,3,1,0,4,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,33,105,0,11,13,0,0,72,0,0,0,0,0,0,0,0,36,118,5,10,7,0,0,81,0,0,0,0,0,0,0,0,29.2,80.79,0,6134
"181",188,42973,"桃園","Sat","LAMIGO桃猿","統一7-ELEVEn獅",0,1,2,0,6,5,237,41,38,11,0,0,17,9,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,29,26,7,1,0,8,4,2,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,37,146,6,11,9,0,0,90,2,0,0,0,0,0,0,0,41,179,5,8,10,0,0,112,0,0,0,0,0,0,0,0,30.16,75.25,0,13112
"182",187,42973,"洲際","Sat","中信兄弟","富邦悍將",0,0,0,3,5,6,215,45,38,13,4,0,17,10,1,1,1,1,4,0,1,1,10,0,0,0,0,0,1,1,37,33,6,3,0,9,7,0,2,1,0,3,0,0,0,5,0,0,0,0,0,2,0,40,151,4,10,13,0,0,93,0,0,0,0,0,0,0,0,45,183,6,11,6,0,2,104,1,0,0,0,0,0,0,0,29.6,79.17,0,8190
"183",189,42974,"洲際","Sun","中信兄弟","富邦悍將",0,0,0,1,3,1,217,37,32,7,2,0,9,7,2,0,0,0,5,0,0,1,9,0,0,0,0,0,0,0,25,22,4,1,0,5,6,0,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,37,149,1,4,14,0,0,91,0,0,0,0,0,0,0,0,37,143,1,10,8,0,0,87,0,0,0,0,0,0,0,0,28.83,80.04,0.02,5099
"184",190,42974,"桃園","Sun","LAMIGO桃猿","統一7-ELEVEn獅",1,0,2,0,6,2,204,37,34,10,3,0,19,7,0,1,0,0,3,0,0,2,8,0,0,0,0,0,1,0,33,30,11,4,0,18,5,1,1,0,2,1,0,0,0,5,0,0,0,0,0,1,0,38,135,6,11,10,0,0,82,0,0,0,0,0,0,0,0,37,142,2,9,8,0,0,88,0,0,0,0,0,0,0,0,29.41,75.88,0,8386
"185",191,42976,"雲林","Tue","富邦悍將","統一7-ELEVEn獅",0,0,3,3,1,9,192,32,30,11,2,0,19,5,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,28,28,5,1,0,6,6,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,32,130,0,11,8,0,0,88,1,0,0,0,0,0,0,0,40,167,8,11,8,0,0,113,1,0,0,0,0,0,0,0,30,77.29,0,5012
"186",192,42977,"洲際","Wed","中信兄弟","LAMIGO桃猿",4,3,3,0,14,7,196,37,36,9,2,0,20,13,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,47,44,18,2,0,32,10,1,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,47,175,14,8,8,0,0,114,0,0,0,0,0,0,0,0,37,138,5,6,8,0,0,98,0,0,0,0,0,0,0,0,31.24,70.17,0,2586
"187",193,42978,"澄清湖","Thu","富邦悍將","統一7-ELEVEn獅",2,2,0,0,11,8,238,37,29,9,0,1,11,7,0,0,0,2,6,0,0,1,10,0,0,0,0,0,0,0,36,33,12,3,0,21,12,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,42,163,11,5,8,0,0,106,1,0,0,0,0,0,0,0,47,195,5,11,8,0,0,124,0,0,0,0,0,0,0,0,28.17,82.46,0.02,1948
"188",194,42978,"洲際","Thu","中信兄弟","LAMIGO桃猿",2,2,2,1,4,5,172,33,29,6,1,1,15,9,0,0,0,0,2,1,1,2,4,0,0,0,0,0,0,1,35,33,8,0,0,14,8,2,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,35,127,4,6,11,0,1,83,1,0,0,0,0,0,0,0,33,115,5,4,10,0,0,76,0,0,0,0,0,0,0,0,29.93,77.17,0,2608
"189",195,42979,"澄清湖","Fri","富邦悍將","LAMIGO桃猿",1,0,1,1,6,4,224,34,29,8,0,0,11,6,0,0,1,0,1,0,3,0,9,0,0,0,0,0,0,0,42,39,13,1,1,19,7,1,0,0,0,2,0,1,0,9,0,0,0,0,0,0,0,42,151,5,8,11,0,0,103,1,0,0,0,0,0,0,0,42,166,4,7,13,0,0,104,0,0,0,0,0,0,0,0,26.68,86.79,0.72,10482
"190",196,42979,"台南","Fri","統一7-ELEVEn獅","中信兄弟",1,1,0,0,2,5,205,30,28,10,2,1,14,10,0,1,0,1,1,0,0,1,5,0,0,0,0,0,1,0,33,30,5,0,0,8,11,1,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,33,137,2,8,6,0,0,92,0,0,0,0,0,0,0,0,34,112,4,3,7,0,0,78,0,0,0,0,0,0,0,0,28.03,79.33,0.18,3403
"191",198,42980,"台南","Sat","統一7-ELEVEn獅","中信兄弟",1,1,0,0,2,10,234,45,42,21,2,0,23,6,0,0,1,0,2,0,0,1,13,0,0,0,0,0,0,0,37,30,5,2,0,10,7,0,0,0,0,7,0,0,2,8,0,0,0,0,0,0,0,37,154,2,10,8,0,0,95,0,0,0,0,0,0,0,0,49,179,10,11,6,0,0,119,1,0,0,0,0,0,0,0,28.84,76.67,0.06,6168
"192",197,42980,"澄清湖","Sat","富邦悍將","LAMIGO桃猿",2,2,1,1,13,4,237,32,29,8,1,0,12,1,0,0,0,0,3,0,0,1,8,0,0,0,0,0,0,0,54,46,19,6,0,31,9,1,0,0,0,8,0,0,1,14,0,0,0,0,0,0,0,54,216,11,13,5,0,0,117,1,0,0,0,0,0,0,0,40,166,2,13,12,0,0,94,0,1,0,0,0,0,0,0,28.38,80.57,0.04,6656
"193",199,42981,"澄清湖","Sun","富邦悍將","LAMIGO桃猿",1,0,1,1,2,8,205,31,29,12,1,0,16,4,0,1,0,0,1,0,1,2,6,0,0,0,0,0,1,0,30,29,7,1,0,11,13,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,33,132,2,6,7,0,0,97,0,0,0,0,0,0,0,0,39,156,8,7,11,0,1,94,0,0,0,0,0,0,0,0,28.98,76.83,0.17,3578
"194",200,42981,"台南","Sun","統一7-ELEVEn獅","中信兄弟",0,0,0,1,1,4,189,36,33,10,2,0,12,7,0,0,1,0,1,1,0,1,8,0,0,0,0,0,0,0,34,33,6,1,1,9,6,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,34,119,0,16,5,0,0,81,0,0,0,0,0,0,0,0,36,132,4,6,11,0,0,85,1,0,0,0,0,0,0,0,29.34,70.62,0.22,4681
"195",201,42983,"雲林","Tue","富邦悍將","中信兄弟",1,1,1,0,5,4,220,31,29,8,2,0,13,5,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,39,37,13,1,2,21,5,0,0,0,0,2,0,0,3,7,0,0,0,0,0,0,0,39,167,5,7,12,0,0,102,0,0,0,0,0,0,0,0,40,149,3,12,7,0,0,99,1,0,0,0,0,0,0,0,28.91,80.88,0,5020
"196",202,42984,"嘉義市","Wed","統一7-ELEVEn獅","LAMIGO桃猿",1,0,1,1,8,6,183,42,35,11,4,0,18,6,0,1,1,2,2,1,1,2,6,0,0,0,0,0,1,0,45,43,14,4,0,21,7,1,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,45,146,7,12,10,0,1,94,2,0,0,0,0,0,0,0,42,141,6,6,15,0,1,84,0,0,0,0,0,0,0,0,29.43,79.25,0,3015
"197",203,42985,"澄清湖","Thu","富邦悍將","中信兄弟",1,0,0,0,7,6,232,36,30,9,1,1,12,6,1,1,0,1,2,1,2,0,7,0,0,0,0,0,1,0,42,32,8,2,0,13,10,0,1,0,1,7,0,2,1,8,0,0,0,0,0,1,0,42,165,7,11,4,0,1,95,2,0,0,0,0,0,0,0,41,163,6,10,8,0,0,105,0,0,0,0,0,0,0,0,28.8,78.62,0.35,2259
"198",205,42986,"桃園","Fri","LAMIGO桃猿","中信兄弟",0,0,1,1,2,3,176,35,29,8,2,0,13,7,0,0,1,1,3,1,0,1,8,0,0,0,0,0,0,0,35,30,6,1,0,7,6,1,2,1,0,4,0,0,0,6,0,0,0,0,0,2,1,35,123,1,13,6,0,0,75,0,0,0,0,0,0,0,0,35,126,2,8,8,0,0,78,0,0,0,0,0,0,0,0,28.74,82.29,0,5119
"199",206,42986,"台南","Fri","統一7-ELEVEn獅","富邦悍將",0,0,2,1,3,4,250,39,35,6,1,0,13,8,3,0,0,0,4,0,0,1,5,0,0,0,0,0,0,0,38,33,5,1,0,6,11,0,0,0,1,4,0,0,0,8,0,0,0,0,0,0,0,46,185,1,11,12,0,1,112,0,0,0,0,0,0,0,0,43,175,4,12,11,0,1,106,0,0,0,0,0,0,0,0,29,78.17,0,3008
"200",207,42987,"桃園","Sat","LAMIGO桃猿","中信兄弟",2,1,0,1,3,6,196,39,29,11,0,0,11,6,0,0,3,0,4,1,2,2,9,0,0,0,0,0,0,0,35,33,6,1,0,13,8,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,35,130,3,13,6,0,0,83,0,0,0,0,0,0,0,0,39,148,5,6,9,0,1,82,0,0,0,0,0,0,0,0,28.08,83.58,0,17112
"201",208,42987,"台南","Sat","統一7-ELEVEn獅","富邦悍將",2,0,0,2,10,4,195,30,28,6,1,0,7,7,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,37,33,11,0,1,19,5,0,1,0,0,4,0,0,0,4,0,0,0,0,0,1,0,42,168,8,7,12,0,0,113,0,0,0,0,0,0,0,0,34,124,4,7,10,0,0,85,0,0,0,0,0,0,0,0,29.62,74.17,0,5359
"202",210,42988,"台南","Sun","統一7-ELEVEn獅","富邦悍將",0,1,0,2,3,1,218,34,26,3,1,0,4,8,0,0,0,0,6,0,1,1,8,0,0,0,0,0,0,0,34,29,8,0,0,8,7,1,1,1,1,2,1,0,1,7,0,0,0,0,0,1,0,38,148,1,10,9,0,0,92,1,1,0,0,0,0,0,0,38,168,1,9,8,0,0,95,0,0,0,0,0,0,0,0,29.92,70.88,0,5537
"203",209,42988,"桃園","Sun","LAMIGO桃猿","中信兄弟",2,1,2,1,12,2,197,32,31,4,0,0,10,7,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,48,42,14,4,0,24,8,1,0,0,0,5,0,1,0,9,0,0,0,0,0,0,0,48,169,12,14,6,0,0,111,0,0,0,0,0,0,0,0,33,136,2,13,8,0,0,84,0,0,0,0,0,0,0,0,28.5,81.62,0,10453
"204",211,42990,"新莊","Tue","中信兄弟","富邦悍將",1,2,2,2,6,7,208,41,34,12,2,0,20,8,2,1,2,1,3,0,1,0,10,0,0,0,0,0,1,0,38,35,12,1,0,16,11,0,0,0,0,3,0,0,2,8,0,0,0,0,0,0,0,41,159,4,3,12,0,0,102,1,0,0,0,0,0,0,0,41,149,5,8,9,0,0,93,0,0,0,0,0,0,0,0,30.4,66.17,0,3116
"205",212,42991,"桃園","Wed","LAMIGO桃猿","統一7-ELEVEn獅",1,4,1,1,4,5,236,42,32,5,1,0,9,6,3,0,0,2,5,2,1,0,9,0,0,0,0,0,0,0,42,35,8,0,0,11,7,0,2,0,0,7,0,0,2,7,0,0,0,0,0,2,0,42,154,3,8,12,0,1,92,0,0,0,0,0,0,0,0,42,180,2,12,11,0,0,111,1,0,0,0,0,0,0,0,26.62,83.29,0.23,3078
"206",213,42992,"新莊","Thu","中信兄弟","富邦悍將",2,1,1,1,14,3,185,35,33,7,1,0,11,9,0,1,0,1,1,0,0,0,5,0,0,0,0,0,1,1,35,33,12,5,1,25,6,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,45,175,14,8,11,0,0,116,0,0,0,0,0,0,0,0,35,134,3,10,8,0,0,85,0,0,0,0,0,0,0,0,26.65,72.67,0.2,2886
"207",214,42992,"桃園","Thu","LAMIGO桃猿","統一7-ELEVEn獅",1,0,3,0,3,7,195,32,31,11,0,0,20,9,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,32,29,6,2,0,11,6,0,0,0,0,2,0,1,1,4,0,0,0,0,0,0,0,36,140,3,8,9,0,0,88,0,0,0,0,0,0,0,0,36,142,7,10,3,0,0,95,0,0,0,0,0,0,0,0,26.48,75.92,0.04,3426
"208",215,42993,"天母","Fri","中信兄弟","LAMIGO桃猿",3,0,2,0,3,4,194,33,32,9,3,0,18,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,36,32,7,2,0,18,11,1,1,0,0,4,0,0,1,6,0,0,0,0,0,1,0,38,166,3,6,8,0,0,106,0,0,0,0,0,0,0,0,33,117,4,7,11,0,0,77,0,0,0,0,0,0,0,0,27.98,69.74,0,4008
"209",216,42993,"新莊","Fri","富邦悍將","統一7-ELEVEn獅",0,0,1,2,7,8,223,33,28,10,1,1,16,6,1,3,1,0,3,0,1,0,4,0,0,0,0,0,3,1,41,34,12,3,0,15,4,1,0,1,1,4,0,1,2,12,0,0,0,0,0,0,0,46,166,4,7,16,0,0,113,0,0,0,0,0,0,0,0,37,132,8,7,8,0,2,78,0,0,0,0,0,0,0,0,29.65,57.21,0,4516
"210",218,42994,"新莊","Sat","富邦悍將","統一7-ELEVEn獅",1,2,2,1,1,5,195,29,23,3,0,0,3,7,1,0,0,0,5,0,1,0,8,0,0,0,0,0,0,0,32,31,6,2,0,11,8,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,36,126,1,9,9,0,0,88,1,0,0,0,0,0,0,0,37,149,5,8,7,0,0,93,1,0,0,0,0,0,0,0,29.01,59.52,0,8550
"211",217,42994,"天母","Sat","中信兄弟","LAMIGO桃猿",2,0,0,1,7,0,194,34,32,5,1,0,6,16,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,39,34,12,4,0,22,7,0,0,0,0,4,0,1,2,9,0,0,0,0,0,0,0,44,170,7,8,8,0,0,100,0,0,0,0,0,0,0,0,34,151,0,7,4,0,0,103,0,0,0,0,0,0,0,0,28.45,67.08,0,10000
"212",220,42995,"天母","Sun","富邦悍將","統一7-ELEVEn獅",0,0,0,1,1,0,179,24,22,4,1,0,5,9,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,33,29,6,1,0,7,10,0,2,2,0,2,0,0,0,6,0,0,0,0,0,2,0,34,143,1,9,7,0,0,85,0,0,0,0,0,0,0,0,33,126,0,6,8,0,0,86,0,0,0,0,0,0,0,0,26.76,65.35,0,4381
"213",219,42995,"新莊","Sun","中信兄弟","LAMIGO桃猿",0,3,1,1,2,15,235,45,38,19,2,0,24,7,0,0,0,2,5,0,0,1,6,0,0,0,0,0,0,0,37,32,8,1,0,9,9,0,1,0,2,1,1,1,1,8,0,0,0,0,0,1,0,37,159,2,6,11,0,0,103,0,0,0,0,0,0,0,0,45,175,12,10,4,0,0,109,3,0,0,0,0,0,0,0,27.47,61.54,0,8597
"214",221,42997,"新莊","Tue","富邦悍將","LAMIGO桃猿",0,3,0,0,3,2,199,23,22,4,0,0,4,5,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,45,40,15,3,0,18,6,1,0,0,0,5,0,0,2,15,0,0,0,0,0,0,0,45,193,3,13,6,0,0,117,2,0,0,0,0,0,0,0,31,124,1,3,16,0,0,84,0,0,0,0,0,0,0,0,29.15,61.88,0,3625
"215",222,42998,"嘉義市","Wed","統一7-ELEVEn獅","中信兄弟",1,1,0,0,8,4,231,36,34,8,2,0,10,4,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,42,31,9,4,0,16,11,0,2,1,1,8,0,1,0,7,0,0,0,0,0,2,0,42,183,8,7,6,0,0,101,0,0,0,0,0,0,0,0,37,134,4,7,17,0,0,85,0,0,0,0,0,0,0,0,29.37,64.75,0.04,3515
"216",223,42999,"澄清湖","Thu","富邦悍將","LAMIGO桃猿",2,0,0,2,5,10,212,39,34,15,3,4,26,7,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,41,38,9,2,0,17,9,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,41,140,5,8,12,0,0,89,0,0,0,0,0,0,0,0,45,172,10,11,4,0,0,105,1,0,0,0,0,0,0,0,29.73,69.96,0,2336
"217",224,42999,"新莊","Thu","統一7-ELEVEn獅","中信兄弟",0,0,1,2,11,5,221,36,33,9,3,0,15,4,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,47,42,16,5,0,21,7,0,1,0,0,5,0,0,1,9,0,0,0,0,0,1,0,47,183,11,10,10,0,1,102,1,0,0,0,0,0,0,0,38,139,5,11,11,0,0,88,0,0,0,0,0,0,0,0,30.12,67.04,0,3703
"218",225,43000,"澄清湖","Fri","富邦悍將","中信兄弟",0,0,0,1,5,0,180,26,26,5,1,0,6,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,35,31,7,2,0,9,3,0,0,0,1,3,0,0,2,3,0,0,0,0,0,0,0,35,147,1,10,12,0,0,99,0,0,0,0,0,0,0,0,32,126,0,14,5,0,0,82,0,0,0,0,0,0,0,0,30.26,69.24,0,4030
"219",226,43000,"新莊","Fri","統一7-ELEVEn獅","LAMIGO桃猿",0,0,0,1,2,4,179,28,24,4,0,1,6,4,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,38,34,7,2,0,9,8,0,0,0,0,1,0,3,0,9,0,0,0,0,0,0,0,38,143,2,8,11,0,0,99,0,0,0,0,0,0,0,0,31,131,4,8,12,0,2,81,0,0,0,0,0,0,0,0,30.07,71.88,0,3822
"220",227,43001,"澄清湖","Sat","富邦悍將","中信兄弟",0,1,0,1,2,4,201,34,29,8,2,0,10,8,0,1,0,0,3,0,2,2,6,0,0,0,0,0,1,0,34,30,6,0,0,6,8,0,1,0,1,3,0,0,1,5,0,0,0,0,0,1,0,34,146,0,11,6,0,0,85,0,0,0,0,0,0,0,0,34,165,3,5,8,0,0,108,1,0,0,0,0,0,0,0,30.6,69.67,0,6077
"221",228,43001,"天母","Sat","統一7-ELEVEn獅","LAMIGO桃猿",1,0,2,0,1,8,191,37,29,10,2,0,18,2,0,0,1,1,6,0,0,2,6,0,0,0,0,0,0,0,32,29,6,0,1,11,8,0,1,0,0,1,0,2,0,7,0,0,0,0,0,1,0,35,144,1,10,6,0,0,97,1,0,0,0,0,0,0,0,57,204,13,16,15,0,0,112,0,0,0,0,0,0,0,0,31.85,63.17,0,6128
"222",230,43002,"天母","Sun","統一7-ELEVEn獅","LAMIGO桃猿",0,0,0,0,3,6,193,32,28,9,1,0,10,7,0,2,0,0,3,0,1,1,5,0,0,0,0,0,2,0,32,32,10,3,0,13,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,125,3,4,11,0,0,94,0,0,0,0,0,0,0,0,36,152,6,6,6,0,0,90,0,0,0,0,0,0,0,0,30.47,71.78,0,4489
"223",229,43002,"澄清湖","Sun","富邦悍將","中信兄弟",0,0,0,1,1,2,171,31,28,7,1,0,8,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,36,33,9,1,0,10,3,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,36,128,1,10,11,0,0,75,0,0,0,0,0,0,0,0,35,121,2,12,7,0,0,76,0,0,0,0,0,0,0,0,30.89,69.53,0,3882
"224",231,43004,"台南","Tue","統一7-ELEVEn獅","富邦悍將",2,0,0,2,13,1,206,34,31,8,1,0,9,12,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,43,39,15,5,0,26,5,0,0,0,0,4,0,0,1,7,0,0,0,0,0,0,0,48,158,12,8,12,0,0,104,1,0,0,0,0,0,0,0,39,136,1,5,6,0,0,90,0,0,0,0,0,0,0,0,30.62,70.58,0,2889
"225",232,43005,"桃園","Wed","LAMIGO桃猿","中信兄弟",1,1,1,0,6,11,191,45,39,17,4,0,24,5,0,0,1,1,3,0,1,0,10,0,0,0,0,0,0,0,37,36,11,2,0,16,2,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,37,115,6,13,10,0,0,74,0,0,0,0,0,0,0,0,45,165,11,9,10,0,0,104,0,0,0,0,0,0,0,0,29.22,74.21,0,5268
"226",233,43006,"台南","Thu","統一7-ELEVEn獅","富邦悍將",1,2,2,0,7,5,212,37,32,7,1,0,14,10,1,1,0,0,4,0,0,0,6,0,0,0,0,0,1,0,40,37,12,3,1,20,6,0,0,0,0,2,0,1,1,6,0,0,0,0,0,0,0,40,150,7,12,7,0,0,97,1,0,0,0,0,0,0,0,41,176,4,8,7,0,0,108,0,0,0,0,0,0,0,0,30.41,69.92,0,3017
"227",234,43006,"桃園","Thu","LAMIGO桃猿","中信兄弟",2,1,2,1,7,10,211,41,37,16,2,0,24,7,0,0,0,1,3,0,0,2,7,0,0,0,0,0,0,0,38,36,12,3,1,23,6,0,0,1,0,1,0,0,2,4,0,0,0,0,0,0,0,38,151,7,9,10,0,0,103,1,0,0,0,0,0,0,0,41,164,9,7,8,0,0,107,1,0,0,0,0,0,0,0,28.72,82.04,0,5384
"228",235,43007,"洲際","Fri","中信兄弟","統一7-ELEVEn獅",2,0,4,1,7,8,232,42,35,13,0,0,25,8,1,0,1,1,3,1,1,1,9,0,0,0,0,0,0,0,39,33,15,1,0,22,4,2,0,0,2,4,0,0,2,9,0,0,0,0,0,0,0,43,159,7,6,12,0,1,101,0,0,0,0,0,0,0,0,42,176,8,5,11,0,0,103,2,0,0,0,0,0,0,0,29.37,74.13,0,2794
"229",236,43007,"桃園","Fri","LAMIGO桃猿","富邦悍將",2,0,0,0,2,6,178,36,32,13,2,0,15,8,0,1,0,0,4,0,0,4,6,0,0,0,0,0,1,0,29,29,4,2,0,9,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,32,105,2,12,10,0,0,77,0,0,0,0,0,0,0,0,36,154,6,3,8,0,0,94,0,0,0,0,0,0,0,0,27.25,85.79,0.12,5018
"230",238,43008,"桃園","Sat","LAMIGO桃猿","富邦悍將",2,4,2,2,10,8,235,43,37,11,2,0,19,6,0,1,0,1,5,0,0,2,8,0,0,0,0,0,1,0,42,35,12,3,0,18,5,0,0,1,1,5,0,0,0,9,0,0,0,0,0,0,0,47,179,9,12,10,0,0,104,1,0,0,0,0,0,0,0,43,174,6,9,12,0,0,102,0,0,0,0,0,0,0,0,29.31,68.54,0,8134
"231",237,43008,"洲際","Sat","中信兄弟","統一7-ELEVEn獅",2,0,1,1,8,6,195,36,33,8,1,0,12,10,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,35,31,9,3,0,18,5,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,39,164,6,9,12,0,0,109,0,0,0,0,0,0,0,0,36,142,6,6,9,0,0,97,0,0,0,0,0,0,0,0,30.17,67.32,0,5162
"232",240,43009,"桃園","Sun","LAMIGO桃猿","富邦悍將",1,0,0,0,5,2,202,37,34,10,1,0,11,7,0,1,0,0,1,0,2,1,7,0,0,0,0,0,1,0,33,31,7,2,0,12,10,3,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,37,151,5,10,6,0,0,100,2,0,0,0,0,0,0,0,37,127,2,12,5,0,0,85,0,0,0,0,0,0,0,0,28.67,77,0,7029
"233",239,43009,"洲際","Sun","中信兄弟","統一7-ELEVEn獅",0,1,2,2,4,3,217,37,34,7,5,0,18,4,0,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,38,31,8,2,0,10,7,1,0,1,0,5,0,1,1,10,0,0,0,0,0,0,0,43,157,2,11,9,0,0,89,0,0,0,0,0,0,0,0,37,115,3,10,14,0,0,71,0,0,0,0,0,0,0,0,30.15,72.09,0,5521
"234",172,43011,"澄清湖","Tue","富邦悍將","統一7-ELEVEn獅",2,1,0,1,7,3,222,43,34,11,0,0,11,8,0,0,1,0,7,0,1,0,15,0,0,0,0,0,0,0,33,28,6,0,0,12,6,1,1,1,0,3,0,1,0,2,0,0,0,0,0,1,0,37,151,7,13,7,0,0,86,2,0,0,0,0,0,0,0,45,194,3,13,4,0,0,108,0,0,0,0,0,0,0,0,28.73,81.83,1.33,2218
"235",183,43012,"洲際","Wed","中信兄弟","統一7-ELEVEn獅",1,3,0,1,7,6,210,38,34,9,2,0,11,12,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,35,34,11,3,0,17,6,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,39,130,7,7,11,0,1,86,1,0,0,0,0,0,0,0,38,163,3,4,10,0,0,102,0,0,0,0,0,0,0,0,27.81,79.54,0,4078
